Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDB23,OUT046,3649.23852877
FDR49,OUT045,845.192439179
FDB03,OUT010,1951.57506335
FDN39,OUT045,2728.73813126
FDX02,OUT027,4944.46470151
FDQ16,OUT027,3162.67085788
FDU35,OUT018,1331.59808548
NCT29,OUT013,1974.60723756
FDZ27,OUT046,823.989159552
FDN57,OUT017,2304.82070175
FDA03,OUT018,2068.89051722
FDZ36,OUT045,3037.1882848
NCU05,OUT013,1336.68040236
FDT39,OUT018,2175.91497102
FDK60,OUT017,1672.26237353
FDZ25,OUT017,2812.67941695
FDG12,OUT046,2038.14038981
DRB01,OUT019,1115.97264367
NCC43,OUT027,5370.85420724
FDX13,OUT019,2023.39265181
FDM22,OUT049,969.072608955
FDJ03,OUT027,2271.75891453
FDU14,OUT018,3649.81380733
FDB33,OUT010,666.586433596
FDP27,OUT046,3064.97551236
FDO38,OUT010,-623.82955371
FDE28,OUT027,5135.62500667
FDO27,OUT035,1635.50834674
DRL23,OUT027,3161.43559395
FDS28,OUT046,998.968875277
FDX24,OUT013,1513.36760107
FDZ02,OUT035,1628.34798329
FDL46,OUT045,1928.61173576
FDS60,OUT027,4277.31219205
NCO06,OUT017,611.3748089
FDO16,OUT035,1418.07582259
FDC60,OUT049,1501.4787233
FDA48,OUT018,3211.65188096
FDZ36,OUT027,4434.54766802
FDK27,OUT045,1985.29123812
FDW23,OUT018,387.481333514
FDM14,OUT018,1517.30402437
FDM14,OUT013,1776.98611559
FDW60,OUT018,2591.36345536
FDE21,OUT013,1913.82519152
NCM42,OUT035,1790.81346237
FDY59,OUT010,-375.496804011
DRI49,OUT049,1368.24441179
FDT28,OUT019,480.608653132
FDQ22,OUT018,400.996991119
FDR60,OUT049,1294.18797632
FDC50,OUT019,-370.738116275
FDV24,OUT013,2435.28208414
DRF48,OUT010,1093.5259527
FDQ47,OUT046,707.13686368
DRN36,OUT049,1618.16346594
NCY06,OUT035,2091.05691652
FDE52,OUT035,1522.68942231
NCB54,OUT045,2082.36578608
NCF31,OUT035,2463.79291125
FDJ08,OUT027,4475.17245991
NCC07,OUT017,1748.23681755
NCD19,OUT027,2307.35984781
FDL46,OUT049,1955.19993031
FDM20,OUT045,3966.82705991
NCI06,OUT010,948.921458484
DRM11,OUT035,4147.14130635
NCH07,OUT018,2228.07002545
FDS23,OUT013,2087.97016537
FDO49,OUT018,588.450488221
FDS35,OUT049,1118.36199837
DRK39,OUT045,1368.14292459
DRI39,OUT049,987.439145237
FDV04,OUT017,2607.82573526
NCN14,OUT035,2954.15334775
FDH08,OUT013,3697.5082659
FDS20,OUT046,2974.2018008
FDV40,OUT049,1267.24406479
FDZ48,OUT010,-115.616313556
FDS24,OUT027,2897.83808545
FDK44,OUT049,2845.11214952
FDS48,OUT045,2449.62988617
FDK26,OUT010,1130.21478341
FDD23,OUT045,3082.29551797
NCH54,OUT017,2609.53278977
NCP14,OUT010,-202.256117467
FDM60,OUT010,-1183.66687797
FDV24,OUT017,2472.47392409
FDH08,OUT018,3372.45695849
FDS12,OUT027,3479.81505498
FDR39,OUT027,4306.23854644
FDP12,OUT027,2101.46681115
DRF60,OUT027,5173.20202173
FDC09,OUT035,1779.16722606
FDF50,OUT018,2892.67748991
FDG28,OUT035,3938.0238519
NCE19,OUT017,959.135880979
NCM53,OUT010,-151.679283613
NCN18,OUT049,1806.50776242
FDF32,OUT035,3239.61726217
FDF11,OUT013,3840.31845535
DRI59,OUT049,3607.49829255
NCG54,OUT035,2727.38550122
FDM44,OUT046,1704.23180688
FDT57,OUT018,3461.33661057
FDV24,OUT046,2450.63664922
FDI50,OUT019,1740.36404199
FDS09,OUT035,948.36896001
NCC31,OUT027,3876.64596245
FDQ07,OUT019,1613.52116297
FDC22,OUT017,3144.39975369
FDZ56,OUT046,2762.33250037
FDZ40,OUT019,-1035.05076962
FDS46,OUT027,3377.1570676
DRD24,OUT045,2295.50200454
FDV45,OUT017,3063.1999792
FDL26,OUT045,2551.73921218
FDA56,OUT018,1726.65115931
FDN27,OUT046,1938.85622931
FDM20,OUT049,3943.61013736
FDO16,OUT017,1396.80652765
FDL03,OUT035,3197.48872265
FDE58,OUT046,1920.32956326
FDI02,OUT027,3299.83164117
NCC55,OUT019,-1281.77725303
FDR03,OUT018,3028.04252178
FDB14,OUT017,1620.0879747
FDR45,OUT013,3823.06174883
NCN07,OUT017,2143.19274201
FDM51,OUT019,-232.288817617
FDT52,OUT027,5335.61466942
FDL26,OUT046,2519.35567096
NCZ42,OUT046,3793.98764675
DRI47,OUT019,402.56583194
FDW40,OUT013,2301.53166659
FDN34,OUT046,2772.56543835
FDS01,OUT035,2906.60986693
NCG55,OUT045,1894.03378217
FDC11,OUT035,1473.5324195
FDX35,OUT018,3347.19996353
NCB06,OUT046,2595.36314116
FDR09,OUT019,2181.79998683
FDC53,OUT017,1616.934004
FDY45,OUT013,4046.81077024
FDA22,OUT010,785.001373569
FDE02,OUT035,1612.95636041
FDW21,OUT045,1715.87890998
FDV34,OUT046,1283.77832055
FDS59,OUT049,1842.22589937
NCW17,OUT017,2109.9841
NCK54,OUT046,1899.92408672
FDG17,OUT019,1966.98798438
FDG35,OUT017,2853.74702466
FDD08,OUT010,-1220.77617047
NCO07,OUT017,3404.49864282
FDJ10,OUT010,416.582773448
FDW36,OUT017,1737.98390915
FDW21,OUT010,-225.369575122
FDY19,OUT017,1984.67135589
DRE03,OUT013,784.443893433
NCC55,OUT049,674.176127277
FDH52,OUT010,-816.944465465
FDO09,OUT017,4278.56700843
FDU43,OUT045,3903.20286782
FDX09,OUT010,886.725449426
FDH40,OUT019,-540.026992799
FDW58,OUT017,1745.60490946
FDC47,OUT017,3656.15257654
NCR41,OUT035,1581.97453549
DRG49,OUT035,3919.86092261
FDC52,OUT027,3880.93724309
FDY13,OUT046,1277.56937214
FDY35,OUT013,799.958138341
FDI35,OUT017,2947.7473332
NCU18,OUT049,2282.03997423
FDY33,OUT018,2292.12512225
FDC15,OUT027,3923.58449269
FDU01,OUT049,3065.46834706
NCU42,OUT046,2713.97289331
NCV29,OUT018,2549.4679211
NCY30,OUT017,2943.67278226
FDQ46,OUT049,1847.61916155
FDG58,OUT027,3927.4182511
FDK33,OUT017,3438.46087803
NCD07,OUT045,1884.1883619
NCX29,OUT027,3741.01806821
NCT42,OUT013,2358.7398502
DRN59,OUT035,826.648563898
FDI44,OUT035,1370.18009556
FDA45,OUT049,2878.13240616
FDP31,OUT045,1199.35687988
FDY01,OUT046,1949.88240788
FDT09,OUT018,1892.25649416
DRH03,OUT027,2947.33045521
FDA36,OUT018,2689.07002782
NCF31,OUT017,2482.99027395
FDG14,OUT049,2516.13251173
FDG28,OUT027,5344.89353535
FDU14,OUT049,3974.48373994
FDY47,OUT019,216.481992704
FDI56,OUT049,1537.01471915
DRD01,OUT013,991.934996242
FDM22,OUT046,992.590598371
FDH33,OUT013,731.093847382
DRZ24,OUT013,1915.77583512
NCQ38,OUT046,1736.60349127
FDO16,OUT027,2790.70448804
FDU07,OUT027,3844.07936994
NCB07,OUT013,3079.29838358
FDU48,OUT045,2164.68475025
NCM43,OUT045,2677.55257314
FDR31,OUT010,477.659525398
DRK49,OUT018,423.908550754
NCI30,OUT010,1950.68263123
DRD60,OUT017,2938.10746452
NCG19,OUT046,3739.94681204
FDH12,OUT035,1746.04434002
FDM32,OUT035,1567.7086022
FDM27,OUT035,2581.44864181
NCU53,OUT027,4073.02886663
NCQ18,OUT046,1619.59317886
FDS10,OUT013,2862.5707809
FDB33,OUT027,3972.50969383
FDI12,OUT013,1450.05149315
NCW42,OUT013,3498.36581691
NCC06,OUT018,1764.69305256
FDW02,OUT017,2093.89551375
NCD43,OUT017,1718.65892593
FDM57,OUT018,1116.07042401
FDA58,OUT017,3805.12366624
FDK56,OUT046,3007.95241411
FDP52,OUT045,3737.02231646
FDW20,OUT018,1742.82801383
FDS52,OUT049,1655.08263947
NCT29,OUT018,1649.55593015
NCL54,OUT013,2799.65454042
FDC05,OUT045,3223.77284475
FDF34,OUT035,3214.6789417
FDP03,OUT027,3469.67523819
FDD32,OUT010,-472.958788906
FDZ10,OUT045,2092.53365214
FDZ40,OUT035,943.947692463
FDD51,OUT018,442.640745502
NCY30,OUT019,909.679529571
FDP58,OUT017,3510.50963082
FDV49,OUT017,4250.91996357
FDY24,OUT019,-1008.971985
NCO55,OUT017,1786.96426949
FDR13,OUT017,1992.70023741
FDS51,OUT017,1083.94537401
FDP26,OUT045,1713.86427619
NCB54,OUT027,3504.62772785
FDF32,OUT017,3215.23514742
FDN31,OUT018,2755.95150448
DRM48,OUT017,680.017082985
FDN20,OUT049,2762.61124481
DRL01,OUT046,3768.41532582
FDV56,OUT049,1840.66638164
DRH13,OUT027,3169.3370443
FDA03,OUT017,2403.11828622
FDF47,OUT027,4979.38691234
FDX32,OUT046,2446.4320449
FDX57,OUT049,1645.69304071
NCA30,OUT045,3051.92931867
FDO49,OUT013,880.817187533
FDL04,OUT019,-236.201670851
DRM48,OUT035,691.947918471
FDR16,OUT013,3407.58568462
NCC19,OUT018,2759.74199546
NCE42,OUT045,3751.19645429
FDY24,OUT017,1012.56998842
FDH19,OUT049,2834.84952242
FDJ46,OUT013,2772.26718829
FDN45,OUT010,1659.77023001
FDY08,OUT035,2358.05189351
FDZ37,OUT035,1518.31269335
NCT30,OUT045,821.471675912
DRY23,OUT018,475.827190204
NCZ30,OUT018,1655.1265489
FDC44,OUT018,1576.77005169
FDB45,OUT035,1769.27720413
FDY04,OUT013,2645.09909301
FDM27,OUT046,2611.49333773
FDZ43,OUT017,3941.16711216
FDT39,OUT019,521.285374693
NCC06,OUT019,86.7173075961
FDL15,OUT027,3884.69508574
FDL57,OUT017,4167.35128058
FDU08,OUT046,1661.96990249
FDK40,OUT017,4218.27453298
FDQ12,OUT010,1728.71343048
FDS48,OUT017,2471.76822791
FDP09,OUT045,3409.34894407
FDW21,OUT049,1683.32352798
FDY25,OUT035,2949.14243337
DRE13,OUT017,1448.13179896
FDV43,OUT019,-1171.07352993
FDD22,OUT045,1846.29544723
FDM46,OUT019,-421.853604058
NCO30,OUT010,1020.07084166
FDM25,OUT046,2842.79365991
NCN41,OUT049,2015.82388624
FDU24,OUT045,1598.98704534
FDZ50,OUT046,2975.78864466
FDP45,OUT013,4028.17728883
NCM54,OUT045,2049.11043855
FDW10,OUT019,866.141001619
FDP20,OUT017,2138.07631309
FDK32,OUT046,2518.03218667
FDN52,OUT049,1497.97421582
FDM58,OUT045,1876.59519227
FDZ46,OUT027,3217.89489095
NCA18,OUT018,1584.65509733
FDD35,OUT046,1994.60609149
NCK31,OUT035,881.469433087
FDI40,OUT027,3088.75418917
FDT50,OUT019,-325.729982848
NCT06,OUT046,2641.01531208
FDT31,OUT035,3064.9312915
FDT45,OUT049,929.634365698
FDT13,OUT045,3038.81431223
FDO50,OUT045,1542.66975155
NCU18,OUT010,332.880213491
NCR54,OUT049,3117.41300882
NCO18,OUT018,2536.36681307
FDU09,OUT045,1022.99530328
FDT13,OUT018,2722.05565525
FDE09,OUT046,1872.15307362
NCK53,OUT019,-290.621014113
FDG45,OUT049,3449.57537982
DRH15,OUT035,789.51872794
FDO21,OUT019,1662.96915107
FDD14,OUT027,4381.07416995
FDC09,OUT046,1765.63244452
FDH45,OUT027,2235.73448917
FDV32,OUT046,1137.82260751
FDG12,OUT035,2004.98287407
FDS32,OUT013,2324.15130709
NCL55,OUT018,3694.03104597
DRE01,OUT035,3901.55732202
DRE15,OUT049,1278.55001633
NCL42,OUT045,3930.14604843
FDP31,OUT013,1139.1674943
FDN33,OUT018,1279.53835279
FDZ59,OUT046,2703.35237106
FDE45,OUT010,965.747651595
FDJ07,OUT013,1915.83300933
FDQ45,OUT018,2695.04705621
FDM33,OUT027,4905.55349205
FDO15,OUT010,-617.980889015
FDM46,OUT013,1512.69141231
FDR03,OUT045,3349.47040849
FDY49,OUT018,2434.1470112
FDQ60,OUT045,1995.75230137
FDW10,OUT049,2845.44053056
FDO51,OUT049,836.463691397
FDJ40,OUT018,1508.09847749
FDS20,OUT018,2647.8036175
FDU45,OUT013,1864.43235963
FDV02,OUT035,2726.35065777
FDN09,OUT046,3869.41820932
NCM55,OUT027,4399.91637922
FDN23,OUT018,2074.91551217
FDY31,OUT010,448.777485842
FDW03,OUT010,-139.805811913
FDD14,OUT046,2973.12098423
FDV23,OUT017,2074.80656483
DRI03,OUT045,2818.22754038
FDN13,OUT035,1658.7585258
FDF45,OUT027,2493.16080167
FDU46,OUT035,1512.82157405
FDB57,OUT049,3632.97131803
FDV12,OUT049,1694.35363088
FDQ58,OUT013,2425.08276177
NCA18,OUT017,1900.20594741
FDH52,OUT049,1087.07940791
FDM24,OUT018,2160.33270317
NCP43,OUT027,4314.21544465
NCO18,OUT019,859.947478015
FDM32,OUT017,1566.67263608
NCL07,OUT017,709.36839417
FDK03,OUT013,4032.3792217
FDP59,OUT017,1751.61785954
FDQ24,OUT049,4004.71745662
FDQ16,OUT018,1481.23742577
FDU44,OUT013,2641.95624484
FDH28,OUT010,-1204.62674192
FDV28,OUT019,-1278.22871675
FDM22,OUT045,986.063891869
FDR56,OUT046,3218.4414845
FDV39,OUT049,3166.26557502
FDU37,OUT019,-552.680888833
FDQ11,OUT010,2194.32356126
FDX02,OUT045,3564.22582729
NCS42,OUT018,1202.57812665
FDY57,OUT027,3008.61913701
FDB21,OUT049,3894.54306237
FDE28,OUT017,3726.16294719
FDQ55,OUT017,1949.84877009
FDA48,OUT049,3567.45001176
FDZ19,OUT045,2848.13274954
NCC43,OUT045,4012.40507175
NCV18,OUT046,1349.88577315
NCA42,OUT018,2236.50949472
FDY45,OUT046,4088.62430377
NCC30,OUT045,2868.6587347
FDM57,OUT013,1442.67814133
FDL09,OUT010,799.977262945
FDB09,OUT027,3464.56585379
FDT44,OUT035,1989.91869902
NCT06,OUT027,4028.73516898
FDX26,OUT049,2934.08181737
FDK32,OUT013,2524.46736032
DRA12,OUT046,2321.9350022
FDO46,OUT010,1127.01341203
FDE52,OUT013,1439.32572887
NCH42,OUT045,3666.71787742
FDV08,OUT035,793.232723705
FDB47,OUT018,3062.53196658
FDC28,OUT010,-127.314005241
FDD22,OUT046,1868.38625283
FDS07,OUT027,3315.31826271
DRI13,OUT045,3483.81175945
FDG32,OUT018,3283.60837807
FDU14,OUT017,3991.82362586
FDD28,OUT019,-959.144093447
NCP41,OUT017,1824.33814538
FDS08,OUT049,2853.85503152
FDX47,OUT045,2598.43025338
FDC53,OUT019,-311.223374864
FDQ19,OUT035,3932.33409107
FDL14,OUT045,2576.49370398
FDM33,OUT019,1578.82892307
FDA51,OUT045,1886.72656156
FDZ27,OUT018,517.824305072
FDT04,OUT046,731.660177264
DRC13,OUT049,2083.77577697
FDR16,OUT027,4865.13445342
FDQ03,OUT027,5210.95531745
FDE38,OUT035,2741.13483814
DRH23,OUT027,2382.18856729
FDT11,OUT019,1097.40624695
FDD09,OUT035,2936.55910764
FDR40,OUT045,1412.85325862
FDX07,OUT017,3043.43576277
FDR07,OUT035,1650.73276717
FDA51,OUT017,1913.53413302
FDT59,OUT019,1719.97645888
FDF20,OUT017,3182.57410627
FDR13,OUT045,1953.44138667
FDY26,OUT049,3393.30185688
FDW04,OUT017,2169.12098798
FDK52,OUT017,3641.15672211
FDN60,OUT049,2549.20021231
FDM09,OUT019,835.494446082
FDP46,OUT049,1470.99623141
FDB50,OUT019,-612.563992168
NCQ29,OUT049,4131.1111151
FDP16,OUT027,5303.95980274
FDX33,OUT018,2332.3125233
FDP07,OUT010,1232.94847376
FDN22,OUT046,4048.65893636
FDF39,OUT049,4193.4973563
FDS21,OUT017,1104.85578707
NCM42,OUT013,1718.34463829
FDK50,OUT019,698.613807203
DRF13,OUT027,3780.21733892
FDH35,OUT018,2336.92824591
FDP60,OUT018,1333.67568028
DRJ49,OUT027,3518.30329983
NCT42,OUT019,421.082014014
FDE38,OUT049,2730.54103564
FDI04,OUT049,3225.0061311
NCH54,OUT045,2542.25856066
FDT56,OUT049,1088.36111703
DRD15,OUT018,3377.79113786
FDV58,OUT013,3091.81142409
FDP21,OUT049,3054.06657089
FDH05,OUT013,3727.52171843
FDR10,OUT027,4008.96920767
NCP06,OUT045,2411.70439771
FDF33,OUT049,1812.60328339
DRK37,OUT013,3003.4779761
DRH49,OUT045,1419.21882121
FDT58,OUT013,2679.76334295
FDD41,OUT018,1437.67978935
FDP40,OUT018,1531.1135858
FDM51,OUT027,3116.22549009
FDO45,OUT010,-452.251555589
FDW33,OUT010,-179.498001975
FDY24,OUT045,988.875236769
FDB10,OUT010,1859.96940291
FDM40,OUT035,2307.32179096
NCI06,OUT017,2910.75187542
FDW12,OUT019,409.643955599
FDX48,OUT027,3945.07237931
NCW05,OUT027,3161.71175908
FDX27,OUT017,1617.97089314
DRM37,OUT045,3193.16777301
FDA38,OUT045,3843.05327313
FDR36,OUT046,760.893564309
FDZ45,OUT046,3192.77107226
FDG05,OUT017,2615.04515356
FDK28,OUT013,4087.09243717
FDV47,OUT045,1442.69509736
FDN21,OUT045,2606.59411926
FDP20,OUT027,3502.4024852
FDI35,OUT045,2936.50386083
DRY23,OUT013,786.870808426
FDA56,OUT017,2056.20969857
FDB09,OUT013,2019.46836426
NCO26,OUT027,3296.80029967
FDQ49,OUT018,2262.39817831
FDI52,OUT027,3390.01038013
FDZ44,OUT027,3349.40525655
FDZ09,OUT018,2343.59170019
FDY03,OUT049,1904.31651708
NCG42,OUT017,2119.14275373
DRI13,OUT027,4887.39678231
FDQ32,OUT013,2097.7860208
FDW16,OUT035,1558.91616971
FDU27,OUT046,871.448343561
FDR28,OUT010,727.682967808
FDQ49,OUT010,665.923728554
FDS37,OUT046,1924.11277233
FDW26,OUT018,3233.15407846
FDX12,OUT018,3578.15477944
NCP06,OUT013,2398.2073094
FDW45,OUT010,424.298154797
NCN30,OUT049,1552.13156316
FDN24,OUT049,929.380003075
NCL41,OUT027,2004.58361296
FDR02,OUT019,-182.174197767
FDD09,OUT010,1006.37733267
FDS33,OUT010,-450.612896414
FDU22,OUT045,1968.93971056
FDI53,OUT013,2632.96488294
DRH01,OUT049,2838.70135016
FDX32,OUT013,2367.26467354
NCP30,OUT018,382.019083628
FDB60,OUT045,3156.05583047
FDB14,OUT049,1616.75577796
NCP02,OUT035,991.972151808
FDJ10,OUT017,2342.61576247
FDG34,OUT046,1858.54676838
NCB18,OUT017,1464.26982962
FDM16,OUT049,1287.92144394
FDW25,OUT018,1111.33711134
FDB35,OUT010,-376.191950914
DRN11,OUT013,2302.36600786
FDF41,OUT019,1989.7731228
FDH16,OUT045,1469.68515556
NCQ50,OUT018,3070.30097248
DRH23,OUT018,674.296166726
DRJ37,OUT013,2437.00025615
DRJ24,OUT027,4369.24375633
FDY16,OUT035,2997.90333724
FDQ27,OUT045,1783.76638463
FDZ33,OUT045,2419.91064715
FDF29,OUT045,2182.11247992
FDA08,OUT049,2709.97283437
FDG31,OUT046,1112.72244721
FDE34,OUT019,989.319758978
NCR30,OUT027,2620.46569058
FDV33,OUT035,4169.14423123
DRZ24,OUT018,1654.53733399
NCL54,OUT035,2789.63363931
FDR12,OUT049,2833.64118488
NCC54,OUT046,3864.28858879
DRN59,OUT013,788.420757826
FDX50,OUT019,-168.696436067
FDV31,OUT027,4298.36833397
NCA29,OUT027,4160.48159302
FDW60,OUT049,2894.24364924
FDX08,OUT017,2985.76607325
DRD49,OUT013,3752.87554894
FDD33,OUT046,3725.51752078
FDW35,OUT013,730.807276382
FDJ36,OUT017,1761.09793043
FDV51,OUT035,2701.97942969
FDW36,OUT046,1755.05688201
FDH35,OUT046,2671.10847875
NCS30,OUT027,3508.53357131
FDN49,OUT017,754.730780554
FDL08,OUT018,3640.84622353
FDI09,OUT013,3905.2750693
FDP19,OUT018,1826.96467071
FDU21,OUT010,-1282.47806993
NCP41,OUT045,1783.52288473
FDY10,OUT013,1827.10462098
FDP12,OUT018,388.905180862
NCN26,OUT049,1886.57971939
FDK44,OUT013,2817.47814594
FDC28,OUT049,1790.71755731
FDJ41,OUT027,5580.52557989
NCT29,OUT035,2034.62478236
NCH42,OUT019,1667.31424575
FDU60,OUT018,2426.57346654
FDS02,OUT045,3131.03942403
FDC51,OUT046,2030.96081992
FDU03,OUT013,2957.13095245
FDX39,OUT045,3443.59469735
NCY05,OUT010,-1265.90735897
NCL06,OUT027,5517.47735474
FDD32,OUT035,1426.09478787
NCN41,OUT045,2018.80747998
NCX53,OUT049,2306.42663237
FDU57,OUT019,508.10213134
FDQ23,OUT046,1716.58307499
FDQ52,OUT045,3974.27713656
FDC14,OUT045,791.413378016
FDY09,OUT035,2864.06700659
FDQ28,OUT045,2573.14999987
FDV25,OUT046,3556.47637368
FDJ07,OUT035,1919.8197974
DRB25,OUT049,1753.43910508
FDK52,OUT019,1635.17884779
FDY52,OUT027,2465.98858507
FDB28,OUT046,3153.86121865
FDT36,OUT035,673.438455367
FDV25,OUT017,3593.87774764
NCN07,OUT027,3524.63942312
FDC57,OUT017,3195.89241564
FDQ03,OUT018,3509.28855652
FDU23,OUT017,2719.54220437
NCX41,OUT035,3422.0516622
NCD06,OUT035,816.17335296
FDW08,OUT045,1796.1521435
NCU29,OUT017,2375.82311849
NCE06,OUT013,2555.62082228
FDV52,OUT010,30.2490075041
FDB02,OUT017,2926.3272309
NCR18,OUT045,753.027568476
FDK16,OUT049,1561.84488116
NCQ29,OUT010,2189.73340391
FDZ01,OUT019,-194.736226212
FDW27,OUT035,2595.08576789
FDD17,OUT018,3476.32872993
FDW39,OUT013,2862.12210353
DRH59,OUT045,1237.60020158
FDS52,OUT013,1646.12555481
FDU40,OUT027,4524.02119909
NCF54,OUT013,2754.31989237
FDH46,OUT045,1747.19847487
NCP14,OUT049,1692.42929645
FDH50,OUT049,3045.00422256
DRF15,OUT010,530.619548374
FDV27,OUT027,2894.40956664
NCJ06,OUT049,1951.69654716
FDN02,OUT018,3001.55277441
FDQ51,OUT049,858.979605517
FDQ07,OUT017,3653.74005529
FDS45,OUT049,1778.65144189
NCJ06,OUT045,1971.80064989
FDD36,OUT035,1936.22134426
FDY25,OUT045,2967.99119306
FDU52,OUT046,2499.59097112
DRK47,OUT017,3652.00849798
NCL30,OUT017,2095.67718667
FDN22,OUT035,4073.08858726
NCF30,OUT027,3436.53779173
FDK03,OUT035,4117.29932504
FDT45,OUT017,976.546039896
NCC54,OUT027,5223.99306732
FDP08,OUT018,2893.87510258
FDU44,OUT046,2707.11592701
DRG39,OUT035,911.005798663
FDU32,OUT049,2027.9131695
FDY27,OUT049,2857.80971225
NCP54,OUT013,1966.87067489
NCZ41,OUT049,2072.22842402
DRL49,OUT013,2306.27343754
FDI05,OUT018,1003.74651223
FDY56,OUT045,3701.20862155
DRC13,OUT013,2057.69818331
NCV29,OUT017,2913.26747836
FDR24,OUT049,1528.60640697
FDZ34,OUT018,2762.16262547
FDP37,OUT035,2081.09943768
FDX08,OUT027,4337.64096609
FDS57,OUT045,2309.23344131
NCG18,OUT049,1674.81392844
FDK25,OUT018,2453.9001965
FDH53,OUT049,1394.36568002
DRI59,OUT018,3254.81298158
FDA52,OUT046,2887.72050531
FDT20,OUT010,-1213.20664296
FDE36,OUT019,705.57771168
FDI24,OUT017,2837.84995209
FDB28,OUT018,2861.70405335
FDV11,OUT017,2911.62369089
FDP01,OUT046,2539.15212037
FDD34,OUT027,4010.14638037
FDJ50,OUT027,2322.86246442
FDZ44,OUT013,1946.33083457
DRO59,OUT035,1291.47529884
DRB48,OUT045,757.406110165
FDR21,OUT018,2514.32693321
NCE42,OUT010,1795.94028001
FDO23,OUT046,1553.40794704
NCE30,OUT018,3067.85302434
FDQ22,OUT035,698.90688841
FDY01,OUT045,1962.03262029
FDS08,OUT017,2913.217985
FDG28,OUT018,3654.12164379
FDQ51,OUT018,574.776330543
FDB05,OUT017,3990.55686918
FDO56,OUT049,1984.88416993
FDE02,OUT018,1234.11314784
FDN45,OUT017,3593.58526858
FDS09,OUT013,875.900135936
NCA54,OUT018,2586.08609406
FDP09,OUT010,1475.88250851
FDC53,OUT045,1638.37513972
NCM55,OUT017,3023.13892783
FDL09,OUT018,2457.15169916
FDA11,OUT019,-413.523769204
FDA50,OUT045,1556.50272043
FDC23,OUT017,2904.83018934
FDE22,OUT049,2575.36538917
FDD23,OUT046,3046.79915693
NCA29,OUT049,2767.92066561
FDK38,OUT046,2405.27400864
DRC13,OUT046,2031.02968084
NCP43,OUT049,2892.08272897
FDX28,OUT049,1643.85541384
FDF08,OUT049,1569.99409389
FDZ33,OUT046,2424.88094374
FDD10,OUT049,2924.42206801
FDO58,OUT017,2648.00608885
FDI50,OUT017,3758.79319559
FDO58,OUT045,2688.12414348
FDX08,OUT013,2919.00244503
